utc,local,celsius
2017-09-02T19:23:15+00:00,2017-09-02T21:23:15+02:00,22.69
2017-09-02T19:38:15+00:00,2017-09-02T21:38:15+02:00,22.69
2017-09-02T19:53:15+00:00,2017-09-02T21:53:15+02:00,22.69
2017-09-02T20:08:16+00:00,2017-09-02T22:08:16+02:00,22.69
2017-09-02T20:23:16+00:00,2017-09-02T22:23:16+02:00,22.69
2017-09-02T20:38:15+00:00,2017-09-02T22:38:15+02:00,22.69
2017-09-02T20:53:16+00:00,2017-09-02T22:53:16+02:00,22.69
2017-09-02T21:08:17+00:00,2017-09-02T23:08:17+02:00,22.69
2017-09-02T21:23:17+00:00,2017-09-02T23:23:17+02:00,22.69
2017-09-02T21:38:17+00:00,2017-09-02T23:38:17+02:00,22.69
2017-09-02T21:53:17+00:00,2017-09-02T23:53:17+02:00,22.63
2017-09-02T22:08:17+00:00,2017-09-03T00:08:17+02:00,22.63
2017-09-02T22:23:17+00:00,2017-09-03T00:23:17+02:00,22.56
2017-09-02T22:38:17+00:00,2017-09-03T00:38:17+02:00,22.56
2017-09-02T22:53:17+00:00,2017-09-03T00:53:17+02:00,22.51
2017-09-02T23:08:17+00:00,2017-09-03T01:08:17+02:00,22.51
2017-09-02T23:23:17+00:00,2017-09-03T01:23:17+02:00,22.45
2017-09-02T23:38:17+00:00,2017-09-03T01:38:17+02:00,22.51
2017-09-02T23:53:17+00:00,2017-09-03T01:53:17+02:00,22.51
2017-09-03T00:08:17+00:00,2017-09-03T02:08:17+02:00,22.45
2017-09-03T00:23:17+00:00,2017-09-03T02:23:17+02:00,22.45
2017-09-03T00:38:18+00:00,2017-09-03T02:38:18+02:00,22.39
2017-09-03T00:53:18+00:00,2017-09-03T02:53:18+02:00,22.39
2017-09-03T01:08:18+00:00,2017-09-03T03:08:18+02:00,22.39
2017-09-03T01:23:18+00:00,2017-09-03T03:23:18+02:00,22.39
2017-09-03T01:38:18+00:00,2017-09-03T03:38:18+02:00,22.32
